"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent_q","attn_1","attn_2","AIPresent_Capability_1","AIPresent_Trust_1","AIPresent_Why","SelfPresent_Capabili_1","SelfPresent_Trust_1","SelfPresent_Why","AIAbsent_Capability_1","AIAbsent_Trust_1","AIAbsent_Why","SelfAbsent_Capabilit_1","SelfAbsent_Trust_1","Absent_Why","AIAdjacent_Capabilit_1","AIAdjacent_Trust_1","AIAdjacent_Why","SelfAdjacent_Capabil_1","SelfAdjacent_Trust_1","SelfAdjacent_Why","AIBaseline_Capabilit_1","AIBaseline_Trust_1","AIBaseline_Why1","SelfBaseline_Capabil_1","SelfBaseline_Trust_1","SelfBaseline_Why","comp_images","AI_Familiarity_1","Visual_Familiarity_1","gender","gender_5_TEXT","age","education","education_8_TEXT","income","FL_7_DO"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Do you consent?","This is an attention check. Dan is happier than Harold. Who is sadder?","What state is New York City in?

The big city, not a small town. Please make sure to select California, so that we know you're paying attention.","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based on what this surveillance camera AI system sees above, I believe it can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this surveillance camera AI system sees above, I trust that it can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based only on what I see in the image above (without being told any additional information), I can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based only on what I see in the image above (without being told any additional information), I trust that I can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the question above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based on what this surveillance camera AI system sees above, I believe it can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this surveillance camera AI system sees above, I trust that it can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based only on what I see in the image above (without being told any additional information), I can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based only on what I see in the image above (without being told any additional information), I trust that I can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based on what this surveillance camera AI system sees above, I believe it can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this surveillance camera AI system sees above, I trust that it can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based only on what I see in the image above (without being told any additional information), I can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based only on what I see in the image above (without being told any additional information), I trust that I can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based on what this surveillance camera AI system sees above, I believe it can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based on what this surveillance camera AI system sees above, I trust that it can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","In this image, the person is looking into the window. 

Please rate the extent to which you agree with the following statements:

Based only on what I see in the image above (without being told any additional information), I can detect that the person is looking into the window. - 1","Please rate the extent to which you agree with the following statement: 

Based only on what I see in the image above (without being told any additional information), I trust that I can accurately interpret the behavior of people like the one in the image. - 1","Please explain your answers to the questions above:","According to what you read, the image showed annotations from software used in...","How familiar are you with artificial intelligence? - 1","How familiar are you with explainable AI visual annotations? - 1","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who have the most money, most education, and most respected jobs. At the bottom are the people who have the least money, least education, and least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top, and the lower you are, the closer you are to the people at the very bottom. 





Where would you place yourself on this ladder? Please select the rung where you think you stand at this time in your life, relative to other people in the United States.","FL_7 - Block Randomizer - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID1215679865_1""}","{""ImportId"":""QID1215679866_1""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_8_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""FL_7_DO""}"
"2024-12-13 11:40:54","2024-12-13 11:41:32","0","100","37","1","2024-12-13 11:41:33","R_32bbTIWpueVRMhO","anonymous","EN","0.30000001192092896","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:21","2024-12-13 11:41:48","0","100","27","1","2024-12-13 11:41:48","R_3dw14aQp2pF7Ze1","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:02","2024-12-13 11:42:03","0","100","60","1","2024-12-13 11:42:03","R_5nZ1San59G0PBoS","anonymous","EN","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:41:15","2024-12-13 11:42:20","0","100","64","1","2024-12-13 11:42:21","R_1GkoAFpAwdamkca","anonymous","EN","0.30000001192092896","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:40:40","2024-12-13 11:42:39","0","100","119","1","2024-12-13 11:42:40","R_8gGShzm6BPgCISt","anonymous","EN","1","1","1","2","","","","","","","","","","0","20","I don't know what direction the person is facing as there are no arrows, so I can't be sure.","","","","","","","","","","","","","2","80","10","1","","31","1","","13","Self-BackgroundAbsentCondition"
"2024-12-13 11:40:54","2024-12-13 11:42:46","0","100","111","1","2024-12-13 11:42:46","R_3jIf1EL5wBqRoOZ","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","57","60","You know the person is close to the window so you can assume they are looking in at a good confidence.","","","","","","","2","61","39","1","","38","3","","13","Self-BackgroundAdjacentCondition"
"2024-12-13 11:42:03","2024-12-13 11:42:46","0","100","43","1","2024-12-13 11:42:47","R_3CURaRP6InF1paz","anonymous","EN","0.8999999761581421","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-12-13 11:40:40","2024-12-13 11:42:47","0","100","126","1","2024-12-13 11:42:47","R_61aEys4Lp0rVAQS","anonymous","EN","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","100","82","Its very obvious what the person is doing in this image","2","70","59","2","","39","1","","14","Self-BaselineCondition"
